Product_Category,ABC_XYZ,stockout_rate_segmented,stockout_rate_flat,mean_demand,volume_share
Category_019,AX,0.1343,0.1641,16059830.310344828,0.8253729376677464
Category_006,BX,0.1431,0.1431,1536920.1494252873,0.07898790175104059
Category_005,BX,0.1638,0.1638,755396.7049808429,0.0388225769168284
Category_007,BY,0.1343,0.1133,488814.5517241379,0.02512195301786047
Category_028,BY,0.1164,0.1027,180715.15325670497,0.009287607281160678
Category_033,BY,0.1464,0.1236,164224.80620155038,0.00844010852625127
Category_030,BY,0.1288,0.1112,153351.93486590037,0.0078813122263048
Category_032,CZ,0.1663,0.0939,16647.2030651341,0.0008555601542670487
Category_021,CX,0.1787,0.1481,16630.080459770114,0.0008546801614640926
Category_009,CY,0.2008,0.1274,13824.436781609196,0.0007104879551989383
Category_023,CZ,0.1647,0.0979,12662.053639846745,0.00065074886892765
Category_011,CY,0.1769,0.1094,10923.55938697318,0.0005614013427779832
Category_020,CZ,0.1715,0.0979,9968.369098712446,0.0005123106488529279
Category_001,CX,0.1828,0.1499,6605.180076628352,0.0003394641648336418
Category_024,CY,0.1489,0.1005,3960.103448275862,0.0002035240817249606
Category_015,CY,0.1237,0.0841,3110.4827586206898,0.00015985899243243688
Category_022,CY,0.1725,0.1016,2277.8038461538463,0.00011706460252695686
Category_025,CZ,0.1933,0.0927,15677.41935483871,0.0008057194514450992
Category_003,CY,0.1922,0.1242,1481.7471264367816,7.615235995613758e-05
Category_013,CZ,0.1224,0.0806,1164.6138996138995,5.985373300948501e-05
Category_026,CY,0.1772,0.1236,1061.0229885057472,5.452982030525556e-05
Category_004,CY,0.1657,0.1051,662.4335664335664,3.404486399739894e-05
Category_012,CZ,0.1676,0.0977,379.8857142857143,1.9523704915863327e-05
Category_017,CZ,0.1475,0.0879,216.39719626168224,1.112143690998523e-05
Category_018,CY,0.174,0.1142,174.12260536398466,8.948792330082093e-06
Category_029,CZ,0.193,0.0988,113.71649484536084,5.8443031836604344e-06
Category_010,CZ,0.1363,0.0655,85.96680497925311,4.418145957739754e-06
Category_008,CZ,0.1813,0.1011,70.36947791164658,3.6165427394751996e-06
Category_016,CZ,0.1928,0.1536,648.0769230769231,3.330702401569702e-05
Category_031,CY,0.1582,0.0987,49.24031007751938,2.530638157127594e-06
Category_002,CZ,0.1847,0.0939,10.333333333333334,5.310674848002334e-07
Category_014,CZ,0.1807,0.0921,4.0,2.0557451024525162e-07
Category_027,CZ,0.1695,0.0742,3.0,1.5418088268393873e-07
