Product_Category,ABC_segment,cv,XYZ_segment,ABC_XYZ
Category_019,A,0.2049040347716245,X,AX
Category_006,B,0.38623002263955625,X,BX
Category_005,B,0.28662076991703744,X,BX
Category_007,B,0.6809323980680391,Y,BY
Category_028,B,0.7212154188673554,Y,BY
Category_033,B,0.5330280515424145,Y,BY
Category_030,B,0.635330318434188,Y,BY
Category_032,C,1.3415253446618904,Z,CZ
Category_021,C,0.3858877308492486,X,CX
Category_009,C,0.547200523596664,Y,CY
Category_023,C,1.1873739095056859,Z,CZ
Category_011,C,0.7493176802328763,Y,CY
Category_020,C,1.1277103242985322,Z,CZ
Category_001,C,0.3046921516158959,X,CX
Category_024,C,0.7331823933036516,Y,CY
Category_015,C,0.9106454337090168,Y,CY
Category_022,C,0.8591863087729181,Y,CY
Category_025,C,1.0037449563549077,Z,CZ
Category_003,C,0.6354331328567978,Y,CY
Category_013,C,1.6314994127881945,Z,CZ
Category_026,C,0.5983939001641755,Y,CY
Category_004,C,0.9266194071905554,Y,CY
Category_012,C,1.4808234592805944,Z,CZ
Category_017,C,2.591545290465239,Z,CZ
Category_018,C,0.6557169095273894,Y,CY
Category_029,C,1.117249084677504,Z,CZ
Category_010,C,2.1195145160040565,Z,CZ
Category_008,C,1.242435123261198,Z,CZ
Category_016,C,3.6071787001797073,Z,CZ
Category_031,C,0.8751133068245734,Y,CY
Category_002,C,1.1692817797353943,Z,CZ
Category_014,C,1.1946059322359541,Z,CZ
Category_027,C,2.1372648957412603,Z,CZ
