Product_Category,ABC_segment,cv,XYZ_segment,ABC_XYZ,mean_demand,std_demand,Z,safety_stock,reorder_point,flat_safety_stock,flat_reorder_point
Category_019,A,0.2049040347716245,X,AX,16059830.310344828,3290724.028337286,2.05,15613919.547225688,101648724.78121583,12567301.098986529,98602106.33297667
Category_006,B,0.3862300226395562,X,BX,1536920.1494252873,593604.7041077189,1.65,2266981.0613276646,10500481.861820275,2266981.0613276646,10500481.861820275
Category_005,B,0.2866207699170374,X,BX,755396.7049808429,216512.3851744024,1.65,826862.511932153,4873630.574329525,826862.5119321531,4873630.574329525
Category_007,B,0.6809323980680391,Y,BY,488814.5517241379,332849.66491607076,1.48,1140187.966932871,3758837.351169324,1271155.50367516,3889804.887911613
Category_028,B,0.7212154188673554,Y,BY,180715.15325670497,130334.5549517128,1.48,446465.4974760616,1414582.3899226952,497748.6965104741,1465865.5889571076
Category_033,B,0.5330280515424145,Y,BY,164224.80620155038,87536.42846454303,1.48,299859.0442586714,1179634.791766977,334302.31285595114,1214078.0603642566
Category_030,B,0.635330318434188,Y,BY,153351.93486590037,97429.13361085134,1.48,333746.845741301,1155275.0682371957,372082.63207645045,1193610.8545723453
Category_032,C,1.3415253446618904,Z,CZ,16647.2030651341,22332.644829610505,1.04,53757.62980727088,142939.0747990607,85288.54729038168,174469.9922821715
Category_021,C,0.3858877308492486,X,CX,16630.080459770114,6417.344012461118,1.41,20943.10391046767,110032.82065923614,24507.887554802594,113597.60430357106
Category_009,C,0.547200523596664,Y,CY,13824.436781609196,7564.739045325534,1.18,20660.583000204977,94720.06575882567,28889.798262998484,102949.28102161919
Category_023,C,1.187373909505686,Z,CZ,12662.053639846745,15034.592132715528,1.04,36190.2517297108,104022.6819431755,57417.22630194502,125249.65651540972
Category_011,C,0.7493176802328763,Y,CY,10923.55938697318,8185.2161797328035,1.18,22355.211097531377,80874.27924203055,31259.405348243024,89778.4734927422
Category_020,C,1.1277103242985322,Z,CZ,9968.369098712446,11241.43274903648,1.04,27059.6154121784,80461.59272670935,42931.12060585995,96333.09792039091
Category_001,C,0.3046921516158959,X,CX,6605.180076628352,2012.5465293583409,1.41,6567.977500841231,41952.870768493114,7685.931118005695,43070.82438565758
Category_024,C,0.7331823933036516,Y,CY,3960.103448275862,2903.47812393694,1.18,7929.890298852619,29144.73020033045,11088.405926361713,32303.245827839542
Category_015,C,0.9106454337090168,Y,CY,3110.4827586206898,2832.546920768558,1.18,7736.165174749318,24399.465667360157,10817.519100285066,27480.819592895903
Category_022,C,0.8591863087729181,Y,CY,2277.8038461538463,1957.057878685679,1.18,5345.056385491028,17547.57698988663,7474.019522084912,19676.540126480515
Category_025,C,1.0037449563549077,Z,CZ,15677.41935483871,15736.130606080167,1.04,37878.94762016311,121865.12273537047,60096.407281989545,144082.5823971969
Category_003,C,0.6354331328567978,Y,CY,1481.7471264367816,941.551218653282,1.18,2571.535777423919,10509.466811906677,3595.7915531775143,11533.722587660272
Category_013,C,1.6314994127881943,Z,CZ,1164.6138996138995,1900.0668933450463,1.04,4573.712314005205,10812.715347651096,7256.370498181334,13495.373531827225
Category_026,C,0.5983939001641755,Y,CY,1061.0229885057472,634.9096842558032,1.18,1734.0458343115874,7418.097558449519,2424.725107300101,8108.776831438032
Category_004,C,0.9266194071905554,Y,CY,662.4335664335664,613.8237986317966,1.18,1676.4567109515667,5225.207959702815,2344.197943279733,5892.949192030981
Category_012,C,1.4808234592805944,Z,CZ,379.8857142857143,562.543677559851,1.04,1354.117033580686,3389.2190743970123,2148.358755200127,4183.460796016453
Category_017,C,2.591545290465239,Z,CZ,216.39719626168224,560.8031348418447,1.04,1349.9273170552945,2509.1980113143063,2141.7116087896497,3300.9823030486614
Category_018,C,0.6557169095273894,Y,CY,174.12260536398466,114.17513666812926,1.18,311.8316274438148,1244.6312990365896,436.0357502392325,1368.8354218320073
Category_029,C,1.117249084677504,Z,CZ,113.71649484536084,127.0496497787135,1.04,305.8253105289103,915.0208186290577,485.2036176660596,1094.399125766207
Category_010,C,2.1195145160040565,Z,CZ,85.96680497925311,182.20789104801676,1.04,438.5984924604948,899.1349477064937,695.8533774613619,1156.3898327073607
Category_008,C,1.242435123261198,Z,CZ,70.36947791164658,87.42951096298277,1.04,210.45439626331665,587.4337422185662,333.8939940716082,710.8733400268577
Category_016,C,3.6071787001797073,Z,CZ,648.0769230769231,2337.7292730010795,1.04,5627.223546804792,9099.064206145451,8927.806588680678,12399.647248021338
Category_031,C,0.8751133068245734,Y,CY,49.24031007751938,43.090850581005355,1.18,117.68840797336192,381.4757833886443,164.56429928478573,428.3516747000681
Category_002,C,1.1692817797353945,Z,CZ,10.333333333333334,12.082578390599076,1.04,29.084364220844687,84.44150707798754,46.14346246576321,101.50060532290607
Category_014,C,1.194605932235954,Z,CZ,4.0,4.7784237289438165,1.04,11.502297907064358,32.930869335635784,18.248838025630953,39.677409454202376
Category_027,C,2.1372648957412603,Z,CZ,3.0,6.411794687223781,1.04,15.434037832321255,31.505466403749825,24.486694637817376,40.55812320924595
