Week,Product_Category,Weekly_Demand
2012-01-02,Category_001,2746.0
2012-01-02,Category_003,708.0
2012-01-02,Category_004,500.0
2012-01-02,Category_005,382765.0
2012-01-02,Category_006,1938958.0
2012-01-02,Category_007,687081.0
2012-01-02,Category_008,76.0
2012-01-02,Category_009,18521.0
2012-01-02,Category_010,58.0
2012-01-02,Category_011,4068.0
2012-01-02,Category_013,432.0
2012-01-02,Category_015,8653.0
2012-01-02,Category_017,10.0
2012-01-02,Category_018,209.0
2012-01-02,Category_019,14631930.0
2012-01-02,Category_020,1000.0
2012-01-02,Category_021,10507.0
2012-01-02,Category_022,4790.0
2012-01-02,Category_023,610.0
2012-01-02,Category_024,3503.0
2012-01-02,Category_026,302.0
2012-01-02,Category_028,107642.0
2012-01-02,Category_030,71000.0
2012-01-02,Category_031,25.0
2012-01-02,Category_032,8544.0
2012-01-02,Category_033,20000.0
2012-01-09,Category_001,4832.0
2012-01-09,Category_003,639.0
2012-01-09,Category_005,751385.0
2012-01-09,Category_006,1650801.0
2012-01-09,Category_007,324272.0
2012-01-09,Category_008,20.0
2012-01-09,Category_009,14310.0
2012-01-09,Category_010,4.0
2012-01-09,Category_011,4342.0
2012-01-09,Category_013,486.0
2012-01-09,Category_015,1951.0
2012-01-09,Category_017,1.0
2012-01-09,Category_018,113.0
2012-01-09,Category_019,13177201.0
2012-01-09,Category_020,5120.0
2012-01-09,Category_021,21029.0
2012-01-09,Category_023,2637.0
2012-01-09,Category_024,4365.0
2012-01-09,Category_026,894.0
2012-01-09,Category_028,120054.0
2012-01-09,Category_030,84700.0
2012-01-09,Category_031,39.0
2012-01-09,Category_032,12718.0
2012-01-09,Category_033,240000.0
2012-01-16,Category_001,5938.0
2012-01-16,Category_003,3447.0
2012-01-16,Category_005,851925.0
2012-01-16,Category_006,1291101.0
2012-01-16,Category_007,366952.0
2012-01-16,Category_009,5932.0
2012-01-16,Category_010,15.0
2012-01-16,Category_011,3964.0
2012-01-16,Category_013,940.0
2012-01-16,Category_015,1375.0
2012-01-16,Category_017,8.0
2012-01-16,Category_018,146.0
2012-01-16,Category_019,13448381.0
2012-01-16,Category_020,5507.0
2012-01-16,Category_021,13489.0
2012-01-16,Category_022,2197.0
2012-01-16,Category_023,4739.0
2012-01-16,Category_024,1868.0
2012-01-16,Category_026,941.0
2012-01-16,Category_028,125574.0
2012-01-16,Category_029,2.0
2012-01-16,Category_030,84600.0
2012-01-16,Category_031,252.0
2012-01-16,Category_032,2226.0
2012-01-16,Category_033,130000.0
2012-01-23,Category_001,5792.0
2012-01-23,Category_003,730.0
2012-01-23,Category_004,400.0
2012-01-23,Category_005,682245.0
2012-01-23,Category_006,1034368.0
2012-01-23,Category_007,255574.0
2012-01-23,Category_008,172.0
2012-01-23,Category_009,2640.0
2012-01-23,Category_010,4.0
2012-01-23,Category_011,5463.0
2012-01-23,Category_013,628.0
2012-01-23,Category_015,1521.0
2012-01-23,Category_017,300.0
2012-01-23,Category_018,94.0
2012-01-23,Category_019,10919325.0
2012-01-23,Category_020,1751.0
2012-01-23,Category_021,16501.0
